time,eta_linear,eta_superharmonic,eta_subharmonic,eta_nonlinear,phi_linear,phi_superharmonic,phi_subharmonic,phi_nonlinear,u_linear,u_superharmonic,u_subharmonic,u_nonlinear,w_linear,w_superharmonic,w_subharmonic,w_nonlinear
420,-1.65315216042558e-05,-1.87168698280894e-10,0.000951959151462912,0.000935427442689958,-0.000469688055164526,4.07765331874897e-10,1.33626451702101,1.33579482937361,1.40988872825414e-05,-7.49824390657525e-10,0.000623101689053174,0.000637199826511324,5.70006860398072e-05,-2.26157103428418e-11,0.000349892151651362,0.000406892815075459
420.6,-6.92281170302877e-06,-1.38850793178728e-11,0.00105458026070354,0.00104765743511543,-0.000402916556129213,2.58681923345128e-10,1.33114505428017,1.33074213798272,6.59879173957299e-06,-2.65257605468875e-12,0.000690866296112764,0.000697465085199761,-1.26245043702746e-05,1.79548876718861e-10,0.000318359050096156,0.000305734725274758
421.2,-7.2373845554254e-06,2.60429846463856e-12,0.00114702736431454,0.00113978998236342,-0.000331859233642887,1.98306192490211e-10,1.3255326644219,1.32520080538657,-4.97941743906433e-06,-6.93968491898489e-12,0.000751900380900644,0.000746920956521895,1.27733236206882e-05,-1.06565423491959e-10,0.000288409872577148,0.000301183089632413
421.8,-4.83884743341563e-06,-1.07063451812835e-11,0.00122986975593881,0.00122503089779904,-0.000282945893789014,1.63550379441366e-10,1.3194775195187,1.31919457378847,-7.17559254548638e-07,-3.81718684615208e-11,0.000806585465036614,0.000805867867610197,-6.51342096106668e-06,5.23027063846938e-11,0.000260112707575971,0.000253599338917611
422.4,-5.50169878484866e-06,5.24393708511982e-12,0.00130369489081372,0.0012981931972728,-0.000227767153601808,1.51076340507216e-10,1.31302684861326,1.31279908161073,-6.26826901490862e-06,1.95685448578284e-11,0.000855314786708392,0.000849046537262029,6.46611427416999e-06,-4.33072396901939e-11,0.000233517277903672,0.000239983348870602
423,-4.41097900478508e-06,-5.6436552777494e-12,0.00136910218944994,0.0013646912048015,-0.000182711145284992,1.48278777558156e-10,1.3062248616951,1.30604215069809,-2.69335158579068e-06,-2.44189410912828e-11,0.000898489148176433,0.000895795772171702,-4.46837564669724e-06,2.83774627812892e-11,0.000208655552545797,0.000204187205276562
423.6,-5.01268000508418e-06,4.87422645264794e-12,0.00142669709032707,0.00142168441519621,-0.000132337386421205,1.28632666553428e-10,1.29911270453219,1.2989803672744,-6.13169228349359e-06,1.59173041846242e-11,0.00093651293462796,0.000930381258261771,4.39573289901517e-06,-2.70080608433397e-11,0.000185542511941895,0.000189938217832849
424.2,-4.26120294312458e-06,-1.85467313288374e-12,0.00147708540140268,0.00147282419660488,-8.87542669578695e-05,1.28382041286637e-10,1.29172844296202,1.29163968882345,-3.1088003287028e-06,-1.31262166304015e-11,0.000969790337754803,0.000966681524299883,-3.12429345131142e-06,1.99630834844947e-11,0.000164177051794067,0.000161052778305839
424.8,-4.62417973089063e-06,4.2255394477186e-12,0.00152086799482445,0.0015162438193191,-4.17239221984016e-05,9.60432447159244e-11,1.28410707500778,1.28406535118162,-5.48981959049949e-06,9.73084037492479e-12,0.000998721813746265,0.000993232003886606,3.65742957966826e-06,-2.03461544121744e-11,0.000144543009400522,0.000148200418634036
425.4,-3.87458587329341e-06,5.66246305204743e-13,0.00155863588349554,0.00155476129818849,-9.65946310996633e-07,9.11903586393943e-11,1.27628056897409,1.27627960311897,-2.88133525480966e-06,-5.12280002250542e-12,0.00102370080148256,0.00102081946110495,-2.04328273876347e-06,1.47240939022964e-11,0.000126610295641164,0.000124567027626495
426,-3.93787036628593e-06,3.20680601276153e-12,0.00159096571215136,0.00158702784499188,4.10606615033659e-05,5.19105921173995e-11,1.26827792549605,1.26831898620947,-4.65311165235202e-06,3.9415513463421e-12,0.00104511072264121,0.00104045761493041,3.46113732412185e-06,-1.57610805689621e-11,0.000110336115108719,0.00011379723667176
