time,eta_linear,eta_superharmonic,eta_subharmonic,eta_nonlinear,phi_linear,phi_superharmonic,phi_subharmonic,phi_nonlinear,u_linear,u_superharmonic,u_subharmonic,u_nonlinear,w_linear,w_superharmonic,w_subharmonic,w_nonlinear
-238.209287977858,3.14621116547849e-12,-1.5081035041165e-24,-0.000637059061767513,-0.000637059058621301,-1.36490494967235e-10,-1.2845126294346e-23,-0.0141064871489285,-0.014106487285419,3.01704406286617e-12,9.11811504224177e-25,-0.00070479965740907,-0.000704799654392026,-3.60570992749684e-12,-2.79718613315258e-24,-8.96007896371168e-05,-8.96007932428267e-05
-238.009112105607,2.42418968634816e-12,1.24972910778393e-24,-0.000638346290413546,-0.000638346287989356,-1.4216659799044e-10,-1.25649294425121e-23,-0.0128553002990673,-0.0128553004412338,2.82739485024719e-12,1.76435818989052e-24,-0.000706335954270613,-0.000706335951443218,-3.62953278889988e-12,9.1838261908394e-25,-8.39611372845592e-05,-8.3961140914092e-05
-237.808936233357,1.60999606670479e-12,-1.93641690504209e-24,-0.000639548921978747,-0.00063954892036875,-1.4636766046025e-10,-1.16168872346651e-23,-0.0116016697389423,-0.0116016698853099,2.55174214860158e-12,1.15510844722466e-24,-0.00070777465014562,-0.000707774647593878,-4.48841648747843e-12,1.90911522008344e-24,-7.82972030853438e-05,-7.82972075737603e-05
-237.608760361107,7.05638529992255e-13,6.0269381353933e-25,-0.000640666557950328,-0.000640666557244689,-1.48849925675043e-10,-9.13723689048352e-24,-0.0103457618511896,-0.0103457620000395,2.23306670947085e-12,-4.14669421096162e-25,-0.000709115266990177,-0.000709115264757111,-4.56051837508384e-12,-1.08982360429858e-24,-7.26104783993144e-05,-7.26104829598328e-05
-237.408584488857,-2.85597231249285e-13,-2.43488172979344e-24,-0.000641698825562858,-0.000641698825848455,-1.49497291957979e-10,-4.89346391520726e-24,-0.00908774377530683,-0.00908774392480412,1.83468141877438e-12,-1.70513406611859e-24,-0.00071035735712595,-0.000710357355291269,-5.32849640203775e-12,-3.39732294610273e-24,-6.69024636131727e-05,-6.69024689416691e-05
-237.208408616606,-1.35907533762279e-12,-8.83200256476127e-26,-0.000642645377958988,-0.000642645379318063,-1.48089677500758e-10,8.36187614696774e-25,-0.00782778335697523,-0.0078277835050649,1.38851029799301e-12,-1.79382553931497e-24,-0.000711500503433762,-0.000711500502045252,-5.4044809721476e-12,-1.61652953986178e-24,-6.11746675510102e-05,-6.11746729554912e-05
-237.008232744356,-2.50874685436489e-12,-2.88873923683915e-24,-0.000643505894339061,-0.000643505896847808,-1.44524427965944e-10,7.34805178631528e-24,-0.00656604909707735,-0.00656604924160178,8.68525298883037e-13,-8.3345494486057e-25,-0.000712544319533916,-0.000712544318665391,-6.06844335530102e-12,1.42078573883676e-24,-5.54286068808062e-05,-5.54286129492496e-05
-236.808056872106,-3.72709843462811e-12,-7.09745923330638e-25,-0.000644280080099544,-0.000644280083826642,-1.38607409228317e-10,1.41790745979284e-23,-0.00530271010043241,-0.00530271023903982,2.99928345383384e-13,1.59946055974627e-25,-0.00071348844995317,-0.000713488449653242,-6.10735304247209e-12,1.21344916263845e-24,-4.9665805517179e-05,-4.9665811624532e-05
-236.607880999855,-5.00511415481122e-12,-3.16587153898716e-24,-0.000644967666960192,-0.000644967671965306,-1.30260399440346e-10,2.13468638426802e-23,-0.00403793602427034,-0.00403793615453074,-3.34881366008384e-13,1.77460752864462e-25,-0.000714332570278273,-0.000714332570613154,-6.64711693526991e-12,-1.61022325482484e-24,-4.3887794020683e-05,-4.38878006677999e-05
-236.407705127605,-6.33225222116975e-12,-1.12315972977878e-24,-0.000645568413079914,-0.000645568419412166,-1.19331500486493e-10,2.91152447415619e-23,-0.00277189702646829,-0.00277189714579979,-1.01530667810405e-12,-9.0586905210214e-25,-0.00071507638729599,-0.000715076388311296,-6.611421114867e-12,-2.41108618519381e-24,-3.80961089939493e-05,-3.80961156053704e-05
-236.207529255355,-7.69643820525109e-12,-3.10790669799195e-24,-0.00064608210316124,-0.000646082110857678,-1.05777434661768e-10,3.76113846777246e-23,-0.00150476371356972,-0.00150476381934716,-1.75327085905179e-12,-2.24100953396354e-24,-0.000715719639119544,-0.000715719640872815,-7.00337968930773e-12,3.17066779583932e-25,-3.2292292474958e-05,-3.22922994783377e-05
-236.007353383104,-9.08407642148438e-12,-1.16941991638386e-24,-0.000646508548543373,-0.00064650855762745,-8.94991462125227e-11,4.62793434608044e-23,-0.000236707088611465,-0.000236707178110611,-2.52879525825138e-12,-2.74250498307148e-24,-0.000716262095301415,-0.00071626209783021,-6.85611001541199e-12,2.7371782112295e-24,-2.64778913277537e-05,-2.64778981838637e-05
-235.807177510854,-1.04800809917187e-11,-2.56836150946214e-24,-0.000646847587283758,-0.000646847597763839,-7.0503832306325e-11,5.4216752926482e-23,0.00103210150122287,0.00103210143071903,-3.34968963113667e-12,-2.03094862108353e-24,-0.000716703556932428,-0.000716703560282118,-7.07513237223667e-12,1.5978719094713e-24,-2.06544566308834e-05,-2.06544637060157e-05
-235.607001638604,-1.18679280469695e-11,-7.28793566353296e-25,-0.000647099084228134,-0.000647099096096062,-4.875408661173e-11,6.03028793805607e-23,0.00230149041709631,0.00230149036834222,-4.19593685540579e-12,-7.23618984086148e-25,-0.000717043856727097,-0.000717043860923034,-6.78313807547708e-12,-7.93423060295709e-25,-1.48235430638777e-05,-1.48235498470158e-05
-235.406825766354,-1.32297303946248e-11,-1.4433009683372e-24,-0.000647262931069041,-0.000647262944298771,-2.4318850418085e-11,6.4050130864365e-23,0.00357128778113933,0.00357128775682048,-5.07306797801057e-12,9.30956784046856e-26,-0.000717282859095169,-0.000717282864168237,-6.80556411817425e-12,-1.80019475033944e-25,-8.98670829206078e-06,-8.9867150976249e-06
-235.206649894103,-1.45463358285254e-11,2.8731829541102e-25,-0.000647339046392739,-0.000647339060939075,2.76551163847093e-12,6.51717122798157e-23,0.00484132152917316,0.00484132153193867,-5.95882268050708e-12,-1.49994143251368e-25,-0.000717420460199346,-0.000717420466158168,-6.33835489531658e-12,3.05068528318848e-24,-3.14551235000143e-06,-3.14551868835633e-06
-235.006474021853,-1.5797450078615e-11,2.76935352807657e-25,-0.00064732737571453,-0.00064732739151198,3.23617798762562e-11,6.37820409801463e-23,0.00611141946351491,0.00611141949587669,-6.85588806328712e-12,-1.01850635028806e-24,-0.000717456587999139,-0.000717456594855027,-6.14291273223841e-12,4.43305566125665e-24,2.69848297610079e-06,2.69847683318806e-06
-234.806298149603,-1.6961785185454e-11,1.83082026367219e-24,-0.000647227891502458,-0.000647227908464243,6.43472206889394e-11,5.934537631712e-23,0.00738140930583979,0.00738140937018701,-7.74174338408024e-12,-1.43550077819821e-24,-0.000717391202280859,-0.000717391210022603,-5.47732991361331e-12,2.3034659409861e-24,8.5437147667825e-06,8.54370928945258e-06
-234.606122277352,-1.80172338423201e-11,2.50081512581087e-24,-0.000647040593189382,-0.000647040611206616,9.85027791667175e-11,5.12476763796521e-23,0.00865111875007872,0.0086511188485815,-8.61625843097318e-12,-6.42086010693603e-25,-0.000717224294673712,-0.000717224303289971,-5.04901058719558e-12,3.6870735399243e-25,1.43886195881393e-05,1.43886145391287e-05
-234.405946405102,-1.89410699737768e-11,3.74608455771915e-24,-0.000646765507173414,-0.000646765526114484,1.34619326098812e-10,3.84306658995141e-23,0.00992037551532848,0.00992037564994781,-9.45735636594525e-12,1.13846235289261e-24,-0.000716955888651994,-0.000716955898109351,-4.16810405894671e-12,1.94884509268602e-24,2.02316341107969e-05,2.02316299426929e-05
-234.205770532852,-1.97101755147855e-11,4.97155219425372e-24,-0.000646402686806727,-0.000646402706516903,1.72389303905467e-10,2.06964830304608e-23,0.0111890073987512,0.0111890075711405,-1.02584141375902e-11,2.85487580577546e-24,-0.0007165860395234,-0.000716586049781814,-3.49669592184422e-12,4.76391452146657e-24,2.60711957287301e-05,2.60711922320342e-05
-234.005594660601,-2.03012930193937e-11,5.69403405964665e-24,-0.000645952212372736,-0.000645952232674029,2.11511023421109e-10,-1.8384795595002e-24,0.0124568423284403,0.0124568425399513,-1.10005687746556e-11,3.55935017663172e-24,-0.000716114834403444,-0.000716114845404013,-2.39542570609602e-12,4.36728800092263e-24,3.19057431776219e-05,3.19057407821962e-05
-233.805418788351,-2.06913033640335e-11,7.28126221538031e-24,-0.000645414191051668,-0.000645414211742972,2.51589682124736e-10,-2.80911936500248e-23,0.0137237084162308,0.0137237086678205,-1.16747409555531e-11,3.21036638695811e-24,-0.000715542392176012,-0.000715542403850753,-1.48307817967806e-12,1.03122167505716e-24,3.77337171524618e-05,3.77337156693836e-05
-233.605242916101,-2.08575274192668e-11,7.21763137925733e-24,-0.000644788756874544,-0.000644788777732072,2.92229435800042e-10,-5.7376619768033e-23,0.0149894340104306,0.01498943430266,-1.22602329047981e-11,2.72073248399913e-24,-0.000714868863440065,-0.000714868875700298,-1.64655923677452e-13,-6.20282732255751e-25,4.35535609240829e-05,4.3553560759427e-05
-233.40506704385,-2.0778050147766e-11,8.8858598615423e-24,-0.000644076070665597,-0.000644076091443647,3.32949589413062e-10,-8.8801823342836e-23,0.0162538477484491,0.0162538480813987,-1.27477255925075e-11,3.11671638368434e-24,-0.000714094430442534,-0.00071409444319026,9.74949863078809e-13,1.22486634316731e-24,4.93637209543261e-05,4.93637219292759e-05
-233.2048911716,-2.04320651483713e-11,7.74979560946269e-24,-0.000643276319973149,-0.000643276340405214,3.73262156062689e-10,-1.22031884782427e-22,0.0175167786093039,0.0175167789825661,-1.31169207570213e-11,4.59731685562931e-24,-0.000713219306997431,-0.000713219320114352,2.49265553359872e-12,2.6317772113532e-24,5.51626475095466e-05,5.51626500022021e-05
-233.00471529935,-1.98002372097871e-11,9.17464658983995e-24,-0.000642389718989004,-0.000642389738789241,4.12611343953347e-10,-1.55857273511069e-22,0.0187780559659786,0.0187780563785899,-1.33572357210254e-11,6.28252708912062e-24,-0.000712243738391233,-0.000712243751748468,3.8332670833633e-12,-3.01299580549204e-26,6.09487952721444e-05,6.09487991054115e-05
