time,eta_linear,eta_superharmonic,eta_subharmonic,eta_nonlinear,phi_linear,phi_superharmonic,phi_subharmonic,phi_nonlinear,u_linear,u_superharmonic,u_subharmonic,u_nonlinear,w_linear,w_superharmonic,w_subharmonic,w_nonlinear
0,-0.000601735731461448,-2.56624919737183e-08,0.00218626040769527,0.00158449901374185,-0.00817263671679434,1.43077932066375e-06,-2.34740766625974,-2.35557887219721,-0.000396623452908626,-2.78930215410936e-09,0.00157984178777127,0.00118321554556049,-0.000229871500913216,1.48723001256674e-08,-1.19970810981852e-06,-0.000231056336722909
3.669864,-5.31603205078197e-05,7.35817689011258e-09,0.00218538845797018,0.00213223549563925,0.00649724090235193,-2.23202993389549e-07,-2.41498154186178,-2.40848452416242,0.000112872152433883,-3.67704740030823e-09,0.00157906216834437,0.00169193064373085,0.000307233618624391,9.4331305992598e-10,4.23941226417819e-07,0.000307658503163869
7.339728,-0.000153156884384586,1.11312486457945e-09,0.00218734177235357,0.00203418600109385,-0.00256529516898051,4.43090184760593e-07,-2.48257529300576,-2.48514014508456,-1.51069074591861e-06,-3.20985598386937e-09,0.00158081835839823,0.00157930445779633,-0.000204999252125522,5.60203089119257e-10,1.34895344157785e-06,-0.000203649738480855
11.009592,-0.000136508299447071,7.70047369498726e-10,0.00218882596301375,0.00205231843361405,0.000440825487660024,-2.9873600285066e-07,-2.55023292620618,-2.54979239945452,3.72589457813098e-05,-1.0461844585953e-09,0.00158215449209312,0.00161941239168997,0.000148545570525711,6.43219725030617e-10,-1.50284969613954e-08,0.000148531185248474
14.679456,-6.38542229493947e-05,1.1150483273706e-09,0.00218729342607854,0.00212344031817747,-0.00473214454602183,-3.62430474892584e-08,-2.61788980679031,-2.62262198757937,1.47992726592368e-05,-1.36145802079439e-11,0.00158077803590758,0.00159557729495224,-0.000102652378818296,5.68789587714923e-10,-1.36664627616934e-06,-0.000104018456304878
18.34932,9.93943384939138e-05,-4.44864531100297e-09,0.00218533854343428,0.00228472843328289,-0.00536567210988829,-2.67887257889678e-08,-2.68548175252955,-2.69084745142817,8.7437074751588e-05,1.662824128258e-09,0.00157901985560566,0.00166645859318137,8.70126882954815e-05,1.99750835751203e-10,-3.79918349314762e-07,8.66329696970025e-05
22.019184,-8.3554051469115e-05,1.33442376386437e-09,0.00218632690776158,0.00210277419071622,-0.00855641617731332,1.07978702406986e-09,-2.75305549409234,-2.76161190918987,-8.86361730378206e-05,-1.37963497872339e-09,0.00157991195263266,0.00149127439995986,-0.000173894572256441,2.25824463856938e-09,1.27474693100234e-06,-0.0001726175670808
25.689048,-7.86004609704602e-05,-4.63278636195129e-09,0.00218857189052733,0.00210996679677051,0.00117727143195124,-5.95967522094082e-08,-2.82068956024834,-2.81951234841315,-9.72909252302796e-05,3.22162636443602e-10,0.00158194271517274,0.00148465211210509,0.00012020537631117,-2.78042074897188e-09,7.17941985617022e-07,0.000120920537876038
29.358912,3.88693955235293e-05,-2.40313624360607e-11,0.00218811697592119,0.00222698634741336,0.0037446046757312,2.30286177658346e-08,-2.88835759444083,-2.88461296673648,-4.96413786681376e-05,-8.57267921054499e-10,0.00158154854108468,0.00153190630514862,-4.72697298562726e-05,-3.84723740455426e-10,-1.16498054901569e-06,-4.84350951290288e-05
33.028776,0.000132693414409885,1.10812726041067e-09,0.00218556530507592,0.00231825982761306,0.00609967984456274,5.05499685317375e-08,-2.95597016619197,-2.94987043579744,4.3679094956717e-05,-2.40041565943571e-09,0.0015792631470682,0.00162293984160926,7.8105027038349e-05,1.09678023028241e-09,-1.13468098343914e-06,7.69714428351401e-05
36.69864,-0.000106056347070532,-9.88977702306717e-10,0.00218520683748667,0.00207914950143843,0.00482716111359012,-9.24142093128321e-10,-3.02352846505492,-3.01870130486547,-8.1178025014699e-05,1.45108846248512e-09,0.00157894732517316,0.00149777075124692,-0.000114273487009668,3.65597131845156e-11,8.37779597606001e-07,-0.000113435670852349
40.368504,-3.61935887342109e-05,-1.4253571179254e-09,0.00218767920915079,0.00215148419505947,0.0101634003293616,-1.24937233367018e-08,-3.09112594001948,-3.08096255218384,1.38726282018729e-05,-6.13566758741441e-09,0.0015811840559838,0.00159505054851809,0.000155970895536471,7.91523134376736e-10,1.39109514614574e-06,0.000157362782205751
44.038368,0.000110017620954497,3.70847627951739e-10,0.00218870817372176,0.00229872616552388,0.00338085991807917,-5.94633508535197e-10,-3.15878902119571,-3.15540816187227,0.000109894962989573,1.79244834807324e-09,0.00158212702868358,0.0016920237841215,-4.33752070347282e-05,8.64637332901527e-10,-5.00314357026639e-07,-4.38746567544219e-05
47.708232,0.000127263027527703,5.64517800300879e-11,0.00218636551333338,0.00231362859731287,-0.00357620782315943,-2.90717453085888e-10,-3.2264283287986,-3.23000453691247,0.000142086686619076,2.78791179665367e-09,0.00158002784365117,0.00172211731818204,2.58422599762648e-05,4.5690817246344e-10,-1.64114928054857e-06,2.42015676038887e-05
51.378096,-0.000147385377468812,1.4247405437532e-09,0.0021845309086196,0.00203714695589133,-0.00858862466372321,5.76054875835441e-09,-3.29398998053416,-3.30257859943734,-6.16590148686037e-05,-2.37470117196131e-09,0.00157837202005716,0.00151671063048738,-0.0001310271581759,1.66978381536203e-09,-1.2816966026039e-08,-0.000131038305358111
55.04796,2.69100981768785e-05,-4.95863311857956e-09,0.00218636372866136,0.00221326886820512,-0.00417202781506641,-4.73030227303836e-08,-3.36155124183192,-3.36572331695001,1.95984771041443e-05,3.86570034361928e-09,0.00158001633541613,0.00159961867822062,0.000137379470769852,6.46687858495522e-10,1.65982865225503e-06,0.000139039946109966
